theta	time
theta = 2.2	0.111
theta = 2.2	0.125
theta = 2.2	0.189
theta = 2.2	0.23
theta = 2.2	0.047
theta = 2.2	0.03
theta = 2.2	0.119
theta = 2.2	0.107
theta = 2.2	0.17
theta = 2.2	0.075
theta = 2.2	0.165
theta = 2.2	0.023
theta = 2.2	0.069
theta = 2.2	0.467
theta = 2.2	0.062
theta = 2.2	0.131
theta = 2.2	0.293
theta = 2.2	0.086
theta = 2.2	0.087
theta = 2.2	0.182
theta = 2.2	0.017
theta = 2.2	0.021
theta = 2.2	0.094
theta = 2.2	0.05
theta = 2.2	0.022
theta = 2.2	0.08
theta = 2.2	0.295
theta = 2.2	0.109
theta = 2.2	0.103
theta = 2.2	0.077
theta = 2.2	0.049
theta = 2.2	0.044
theta = 2.2	0.021
theta = 2.2	0.053
theta = 2.2	0.243
theta = 2.2	0.054
theta = 2.2	0.006
theta = 2.2	0.201
theta = 2.2	0.046
theta = 2.2	0.117
theta = 2.2	0.017
theta = 2.2	0.037
theta = 2.2	0.01
theta = 2.2	0.003
theta = 2.2	0.038
theta = 2.2	0.073
theta = 2.2	0.012
theta = 2.2	0.086
theta = 2.2	0.143
theta = 2.2	0.003
theta = 2.2	0.021
theta = 2.2	0.023
theta = 2.2	0.123
theta = 2.2	0.011
theta = 2.2	0.219
theta = 2.2	0.457
theta = 2.2	0.458
theta = 2.2	0.02
theta = 2.2	0.12
theta = 2.2	0.248
theta = 2.2	0.021
theta = 2.2	0.002
theta = 2.2	0.29
theta = 2.2	0.148
theta = 2.2	0.418
theta = 2.2	0.268
theta = 2.2	0.014
theta = 2.2	0.009
theta = 2.2	0.329
theta = 2.2	0.069
theta = 2.2	0.075
theta = 2.2	0.103
theta = 2.2	1.082
theta = 2.2	0.078
theta = 2.2	0.87
theta = 2.2	0.192
theta = 2.2	0.122
theta = 2.2	0.552
theta = 2.2	0.098
theta = 2.2	0.242
theta = 2.2	0.216
theta = 2.2	0.248
theta = 2.2	0.112
theta = 2.2	0.38
theta = 2.2	0.163
theta = 2.2	0.002
theta = 2.2	0.002
theta = 2.2	0.026
theta = 2.2	0.038
theta = 2.2	0.147
theta = 2.2	0.174
theta = 2.2	0.262
theta = 2.2	0.066
theta = 2.2	0.013
theta = 2.2	0.071
theta = 2.2	0.643
theta = 2.2	0.269
theta = 2.2	0.049
theta = 2.2	0.085
theta = 2.2	0.051
theta = 22	0.113
theta = 22	0.013
theta = 22	0.056
theta = 22	0.055
theta = 22	0.026
theta = 22	0.041
theta = 22	0.588
theta = 22	0.369
theta = 22	0.111
theta = 22	0.09
theta = 22	0.108
theta = 22	0.091
theta = 22	0.007
theta = 22	0.194
theta = 22	0.021
theta = 22	0.131
theta = 22	0.051
theta = 22	0.08
theta = 22	0.124
theta = 22	0.109
theta = 22	0.116
theta = 22	0.058
theta = 22	0.093
theta = 22	0.254
theta = 22	0.058
theta = 22	0.024
theta = 22	0.067
theta = 22	0.082
theta = 22	0.115
theta = 22	0.21
theta = 22	0.132
theta = 22	0.097
theta = 22	0.103
theta = 22	0.205
theta = 22	0.086
theta = 22	0.414
theta = 22	0.044
theta = 22	0.06
theta = 22	0.078
theta = 22	0.025
theta = 22	0.487
